name,introduction,url
混在漫威的天灾,带着暗黑2死灵法师法师技能穿越漫威成为一名神父。“安其罗·李，你相信神么？”“你可以叫我武当山驻少林寺地狱厨房分寺大神父,https://www.bige7.com/book/10654/
吞噬星空之无上轮回,穿越到刚刚被复活的“人类第一首负”乾巫国主身上，面对巨额“财负”，吴潜表示自己压力好大。好在身怀无上的神秘传承，且看吴潜,https://www.bige7.com/book/9843/
影视世界从药神开始,　　一个平凡人，经历着一段段不凡的人生……、、、尽量都市，不修仙。《我不是药神》、《无间道》、《三十而已》、《匆匆那年》,https://www.bige7.com/book/3341/
[清穿]雍正的怼怼皇后,清穿雍正的怼怼皇后是霸道小妖精创作的经典的小说作品清穿雍正的怼怼皇后小兵提供清穿雍正的怼怼皇后最新章节全文免费阅读，清穿,https://www.bige7.com/book/50427/
全球神祇之开局狩猎精灵女王苏阳,穿越神祗时代，人人都可以点燃神火，凝聚神格，获得【无限进化】系统，开局猎捕精灵女王！【无限进化】：百分之百提升物品1级品,https://www.bige7.com/book/14996/
我在异界有座城,无限开挂，无限强大！变异的手机，内有神奇的应用下载！形形色色的楼城，可升天，可潜海，可隐身……暗藏着天大的隐秘！唐震建立,https://www.bige7.com/book/8649/
重生都市仙帝,修仙者都市重生，成为落败的富二代大学生张逸风，从此开启逆袭之路。脚踩高富帅，拳打各类大师。凭借修真秘术，睥睨天下，横扫世,https://www.bige7.com/book/11325/
光怪陆离症候群,一扇门在眼前展开。邪恶在茁壮生长，窃窃私语声从门内后溢出。怨毒的复眼一闪而逝，想要冲出的存在被阻隔在内，蛊惑的低语耳畔回,https://www.bige7.com/book/23504/
全球灾变：我把世界制成了卡牌,【丧尸异能卡牌宠物】【非战斗人员请撤离】萧升刚成为一名制卡师不久，全球灾变。技能卡：冰锥术，雷击万钧，死亡凝视……道具卡,https://www.bige7.com/book/15199/
星际破烂女王,　　穿越到星际时代的一颗垃圾星上面，季柚穷得都快要刨土吃了，可……这里土有毒不能吃……没办法，她只能放低身段去捡捡垃圾，,https://www.bige7.com/book/1118/
两A匹配度100%,两A匹配度100简介：两A匹配度100情节跌宕起伏、扣人心弦，是一本情节与文笔俱佳的科幻小说。,https://www.bige7.com/book/54670/
毁灭日，从一代宗师开始,我堂堂毁灭日，不死者，超人的死敌，移动的天灾，无数生命的吞噬者，无数世界的毁灭者！你个智障系统竟然让我去谈恋爱？我呸！当,https://www.bige7.com/book/8010/
废柴从今天开始反攻,丢掉成为异能者的幻想，准备专攻鬼画符的那一天，凌姿捡到了一条咸鱼。凌姿：“咸鱼，咸鱼，今后我发达了，你将成为本大佬身边，,https://www.bige7.com/book/12478/
玩家请上车,“欢迎玩家登上维度裂缝游戏专用列车，本次列车将由E级始发站开往D级站点，请玩家保证生命安全有序上车，并遵守乘车规则。”“,https://www.bige7.com/book/7019/
陈北冥萧绮梦,北冥殿主，浴血边疆，却在前线接到了女儿的求救信，得知女儿受难，招八部旧将！携十方强者！强势回归！战尊归来，所有巨商富贾，,https://www.bige7.com/book/12255/
美漫：名场面全被我曝光了,星海漫游，时空穿梭，机械科技，目标是未知的星辰大海！,https://www.bige7.com/book/7744/
农家小福女周满宝白善宝,周家的四哥赌输了钱，母亲病重，赌场的人还想让满宝卖身偿债。村里人都说周家的宝贝疙瘩好日子到头了，老娘也握着满宝的小手哭唧,https://www.bige7.com/book/52877/
从一人开始攻略诸天,开局穿梭到民国时期，拜入天师府踏入修行之路，乱世聚财，正是崛起之时。乐文小说网以此铸造修行根基，穿梭诸天万界。目前进度：,https://www.bige7.com/book/7570/
民间诡异笔记,世上总是有着科学无法解释的事物于是人们称其为灵异。陈凡在整理爷爷遗物中无意中发现一个惊天秘密，于是陈凡开始游荡在各个不同,https://www.bige7.com/book/43337/
养老计划从三国扩到诸天,刚开始，公孙路最初的目标只是在汉末这个乱世找个好地方平平凡凡的窝一辈子养老来着，，真的自己都计划好未来死在那里，埋在哪里,https://www.bige7.com/book/22763/
末世我只想苟着,【架空末世文】石笑怎么也想不到一次迟到，竟在也不用去上班了。亲眼目睹了一场史无前例的巨变，末世来临了。接着一场昏睡，让石,https://www.bige7.com/book/52079/
快穿之我成了系统,当系统的感觉是怎么样的？自从叶天把觊觎他的系统气炸了，他就成了系统。穿梭诸天万界，偷取世界本源。化身‘大反派系统’，协助,https://www.bige7.com/book/22217/
超凡从撕剧本开始,我是张光沐，玄龙帝国普通公民，专业演员，无不良嗜好，有金手指，目标是成为潜意识影帝！类型：潜意识电影，原创剧本。已有完本,https://www.bige7.com/book/58460/
灵气复苏开局获得魅魔,别人穿越修真，一路金手指挂到底；姜唐穿越修真，被现实打脸到自闭。在老老实实种田三年后，姜唐忽然发现自己多了一片灵田空间，,https://www.bige7.com/book/48350/
会穿越的面包车,【恭喜周先生，注册成功，成为万界货帮帮的唯一货车司机。】【叮咚！您有新的订单，请及时查看。】【订单人：冷锋。订单需求：防,https://www.bige7.com/book/7033/
傲世重生路张逸风梦霓裳,修仙者都市重生，成为落败的富二代大学生张逸风，从此开启逆袭之路。脚踩高富帅，拳打各类大师。凭借修真秘术，睥睨天下，横扫世,https://www.bige7.com/book/16577/
